age,workclass,educational-num,marital-status,occupation,relationship,hours-per-week,is_Male,income >50K,is_White,from_USA,gained-capital
20,Private,9,Never-married,Administrative,Shared Housing,40,0,0,1,1,0
33,Private,10,Never-married,Administrative,Single,35,0,0,0,1,0
22,Private,10,Never-married,Simple Services,Child,39,1,0,0,1,0
58,Self Employed,5,Widowed/Separated,Simple Services,Shared Housing,40,0,0,1,1,0
52,Government,9,Widowed/Separated,Administrative,Single,28,0,0,1,1,0
36,Private,6,Widowed/Separated,Simple Services,Shared Housing,40,0,0,1,1,0
41,Government,9,Married,Public Safety,Husband,40,1,0,1,1,0
28,Private,9,Never-married,Simple Services,Child,40,1,0,1,1,1
19,Private,10,Never-married,Simple Services,Child,16,1,0,0,1,0
18,Private,9,Never-married,Simple Services,Shared Housing,28,0,0,1,1,0
18,Private,9,Never-married,Simple Services,Child,48,0,0,1,1,0
28,Private,10,Married,Specialized Services,Husband,40,1,0,1,1,0
29,Private,11,Married,Management,Husband,40,1,1,1,1,0
40,Private,10,Married,Simple Services,Husband,40,1,0,1,1,0
26,Private,9,Never-married,Simple Services,Single,40,1,0,1,1,0
46,Private,9,Married,Specialized Services,Husband,40,1,0,1,1,0
23,Private,7,Never-married,Simple Services,Shared Housing,24,0,0,1,1,0
44,Private,9,Married,Administrative,Single,40,0,0,1,1,0
43,Private,13,Widowed/Separated,Sales,Single,40,0,1,1,1,0
31,Government,13,Widowed/Separated,Professional,Single,60,0,0,1,1,0
18,Private,10,Never-married,Sales,Child,25,0,0,1,1,0
19,Private,10,Never-married,Public Safety,Child,30,1,0,1,1,0
41,Private,10,Widowed/Separated,Specialized Services,Shared Housing,40,0,0,1,1,0
41,Private,9,Widowed/Separated,Simple Services,Single,40,0,0,1,1,0
69,Private,9,Widowed/Separated,Administrative,Shared Housing,25,0,0,1,1,0
48,Government,16,Married,Professional,Wife,40,0,1,1,1,0
28,Private,9,Never-married,Professional,Child,40,1,0,1,1,0
27,Self Employed,9,Married,Specialized Services,Husband,60,1,1,1,0,0
41,Private,14,Married,Professional,Husband,50,1,1,1,1,0
41,Private,10,Married,Administrative,Husband,40,1,0,1,1,0
24,Private,9,Never-married,Specialized Services,Single,40,0,0,0,1,0
42,Self Employed,16,Married,Professional,Husband,41,1,1,1,1,0
57,Private,9,Married,Specialized Services,Husband,48,1,0,0,1,0
30,Private,12,Never-married,Professional,Shared Housing,40,0,0,1,1,0
36,Private,9,Married,Sales,Husband,60,1,1,1,1,0
49,Private,4,Married,Simple Services,Husband,40,1,0,0,1,0
33,Private,9,Married,Simple Services,Wife,35,0,0,1,1,0
23,Private,6,Married,Professional,Husband,40,1,0,1,1,0
46,Private,14,Married,Professional,Husband,40,1,0,1,1,0
18,Private,10,Never-married,Administrative,Child,22,0,0,0,0,0
40,Private,9,Married,Management,Husband,55,1,1,1,1,1
43,Self Employed,9,Married,Management,Husband,45,1,1,1,1,0
34,Private,14,Never-married,Professional,Child,30,0,0,1,1,0
47,Self Employed,9,Widowed/Separated,Management,Shared Housing,30,0,0,1,1,0
44,Private,11,Widowed/Separated,Management,Single,30,0,0,1,1,0
33,Private,9,Married,Sales,Husband,40,1,1,1,1,0
55,Private,13,Married,Management,Husband,50,1,1,1,1,1
19,Private,9,Never-married,Sales,Shared Housing,30,1,0,1,1,1
28,Private,10,Never-married,Simple Services,Shared Housing,14,1,0,0,1,0
27,Private,7,Married,Simple Services,Wife,32,0,0,0,1,0
50,Private,4,Married,Simple Services,Husband,20,1,0,1,1,0
22,Private,7,Never-married,Specialized Services,Single,40,1,0,1,1,0
40,Government,13,Married,Administrative,Husband,45,1,1,1,1,0
25,Private,10,Never-married,Administrative,Child,40,0,0,1,1,0
26,Government,9,Never-married,Specialized Services,Shared Housing,40,1,0,1,1,0
22,Private,13,Never-married,Sales,Shared Housing,25,1,0,1,1,0
42,Private,10,Never-married,Simple Services,Single,40,0,0,0,1,0
38,Self Employed,13,Widowed/Separated,Management,Shared Housing,40,1,0,1,1,0
55,Private,7,Married,Simple Services,Husband,30,1,0,1,1,0
32,Private,9,Married,Sales,Husband,40,1,0,1,1,0
22,Private,9,Married,Specialized Services,Husband,45,1,0,1,1,0
29,Private,13,Never-married,Sales,Child,40,1,0,1,1,0
46,Government,14,Married,Management,Husband,45,1,1,1,1,0
31,Private,10,Married,Management,Husband,40,1,1,1,1,0
58,Self Employed,16,Married,Professional,Husband,16,1,1,1,1,0
42,Private,9,Married,Specialized Services,Husband,45,1,0,1,1,0
18,Private,9,Never-married,Simple Services,Single,25,1,0,1,1,0
58,Government,9,Widowed/Separated,Management,Shared Housing,33,1,0,1,1,0
54,Private,9,Married,Professional,Husband,40,1,1,1,1,0
34,Private,14,Never-married,Professional,Shared Housing,40,1,0,1,1,0
26,Private,13,Never-married,Administrative,Shared Housing,40,0,0,1,1,0
61,Private,8,Married,Management,Husband,60,1,0,1,1,0
48,Government,14,Widowed/Separated,Administrative,Single,40,0,0,0,1,0
36,Private,10,Married,Management,Husband,45,1,1,1,1,0
24,Private,11,Married,Simple Services,Husband,45,1,0,1,1,0
40,Private,10,Married,Simple Services,Husband,37,1,0,1,1,0
33,Self Employed,9,Married,Sales,Husband,50,1,1,1,1,0
37,Private,10,Married,Simple Services,Husband,40,1,1,1,1,0
34,Private,14,Never-married,Management,Child,40,1,0,1,1,1
56,Self Employed,10,Married,Management,Husband,40,1,1,1,1,1
37,Private,13,Widowed/Separated,Management,Shared Housing,55,0,0,1,1,0
44,Private,9,Widowed/Separated,Sales,Single,40,0,0,0,1,0
54,Private,9,Widowed/Separated,Simple Services,Shared Housing,45,1,0,1,1,0
23,Private,9,Never-married,Simple Services,Shared Housing,50,1,0,1,1,0
22,Private,9,Never-married,Simple Services,Shared Housing,45,0,0,1,1,0
33,Private,13,Married,Management,Husband,40,1,1,1,1,0
39,Private,13,Widowed/Separated,Professional,Shared Housing,50,1,1,1,1,0
47,Private,10,Widowed/Separated,Administrative,Shared Housing,37,0,0,0,1,0
26,Private,9,Never-married,Professional,Single,55,0,0,0,1,0
31,Private,10,Widowed/Separated,Management,Single,40,0,0,1,1,0
44,Private,10,Never-married,Simple Services,Shared Housing,45,1,0,1,1,0
42,Self Employed,15,Married,Professional,Wife,50,0,1,1,1,0
19,Private,9,Never-married,Simple Services,Shared Housing,40,0,0,1,1,0
27,Private,9,Married,Simple Services,Husband,40,1,1,1,1,0
51,Government,10,Married,Public Safety,Husband,40,1,1,1,1,0
28,Self Employed,13,Married,Management,Husband,50,1,0,1,1,0
57,Private,13,Widowed/Separated,Specialized Services,Shared Housing,45,1,0,1,1,0
45,Government,13,Widowed/Separated,Professional,Single,40,0,0,1,1,0
50,Private,11,Married,Professional,Husband,40,1,1,1,1,0
34,Self Employed,13,Married,Sales,Husband,54,1,0,1,1,0
45,Private,4,Married,Specialized Services,Husband,40,1,0,0,1,0
73,Government,9,Married,Management,Husband,20,1,0,1,1,0
34,Private,13,Married,Professional,Wife,50,0,1,1,1,0
31,Private,10,Married,Sales,Husband,55,1,1,1,1,0
19,Private,7,Never-married,Sales,Shared Housing,12,1,0,1,1,0
25,Private,10,Never-married,Simple Services,Child,50,0,0,1,1,0
38,Government,11,Widowed/Separated,Specialized Services,Single,40,0,0,1,1,1
39,Private,13,Married,Simple Services,Husband,40,1,0,1,1,0
23,Private,13,Never-married,Specialized Services,Child,32,0,0,0,1,0
49,Private,9,Married,Simple Services,Husband,40,1,0,1,1,0
33,Government,9,Never-married,Simple Services,Shared Housing,32,1,0,1,1,0
21,Private,3,Never-married,Simple Services,Shared Housing,38,1,0,1,0,0
31,Private,11,Widowed/Separated,Specialized Services,Shared Housing,40,1,0,1,1,0
23,Private,13,Never-married,Management,Shared Housing,45,0,0,1,1,0
34,Private,13,Married,Administrative,Husband,40,1,0,0,0,0
25,Private,9,Never-married,Simple Services,Shared Housing,40,0,0,0,0,0
39,Private,9,Never-married,Specialized Services,Single,40,1,0,1,1,0
52,Self Employed,9,Married,Sales,Husband,40,1,1,1,1,0
63,Government,5,Married,Simple Services,Husband,40,1,1,1,1,1
41,Private,10,Married,Specialized Services,Husband,40,1,0,1,1,0
46,Private,13,Married,Professional,Husband,38,1,1,1,1,1
53,Government,9,Married,Management,Husband,40,1,0,1,1,0
18,Private,8,Never-married,Simple Services,Child,40,1,0,1,1,0
38,Private,15,Married,Professional,Husband,50,1,0,1,1,0
55,Private,14,Never-married,Management,Single,50,0,0,0,0,0
34,Private,9,Married,Specialized Services,Husband,40,1,1,1,1,0
80,Self Employed,9,Married,Simple Services,Husband,30,1,0,1,1,0
34,Private,11,Widowed/Separated,Specialized Services,Single,60,0,0,1,1,0
52,Private,10,Married,Specialized Services,Husband,40,1,0,1,1,1
42,Private,9,Never-married,Simple Services,Single,28,0,0,0,0,0
26,Private,10,Never-married,Sales,Shared Housing,40,0,0,1,1,0
31,Private,9,Married,Simple Services,Husband,40,1,0,1,1,0
25,Government,9,Never-married,Simple Services,Child,35,0,0,1,1,0
55,Self Employed,9,Married,Specialized Services,Husband,60,1,0,1,1,0
19,Private,10,Never-married,Simple Services,Child,12,0,0,1,1,0
62,Self Employed,10,Married,Simple Services,Husband,32,1,0,1,1,0
22,Government,10,Never-married,Administrative,Child,20,0,0,1,1,0
35,Private,9,Married,Simple Services,Husband,40,1,0,1,1,0
28,Private,9,Married,Sales,Child,40,0,0,1,1,0
47,Private,9,Married,Simple Services,Husband,70,1,1,1,1,0
44,Government,9,Married,Simple Services,Husband,40,1,0,1,1,0
21,Private,10,Never-married,Sales,Child,15,1,0,1,1,0
35,Private,11,Never-married,Specialized Services,Shared Housing,50,1,0,1,1,0
24,Private,13,Married,Professional,Husband,40,1,1,1,1,0
28,Private,13,Never-married,Specialized Services,Child,50,1,0,1,1,0
21,Private,10,Never-married,Simple Services,Shared Housing,35,1,0,1,1,0
62,Government,10,Widowed/Separated,Specialized Services,Shared Housing,40,1,0,0,1,1
39,Private,9,Never-married,Simple Services,Shared Housing,40,0,0,0,1,0
30,Government,9,Never-married,Simple Services,Shared Housing,40,1,0,1,1,0
72,Self Employed,15,Never-married,Professional,Shared Housing,20,1,0,1,1,0
50,Private,10,Married,Management,Wife,50,0,0,1,1,0
28,Government,14,Never-married,Professional,Shared Housing,40,1,0,1,1,0
29,Private,10,Never-married,Professional,Shared Housing,40,0,0,1,1,0
26,Private,13,Never-married,Administrative,Child,40,0,0,1,1,0
27,Private,14,Never-married,Management,Shared Housing,40,0,0,1,1,0
29,Private,10,Married,Simple Services,Husband,40,1,1,1,1,1
29,Private,6,Married,Specialized Services,Husband,25,1,0,1,1,0
31,Private,7,Married,Sales,Wife,20,0,0,1,1,0
25,Private,9,Married,Management,Husband,75,1,0,1,1,0
58,Private,6,Married,Simple Services,Husband,40,1,1,1,1,0
64,Private,10,Married,Management,Wife,40,0,1,1,1,0
46,Government,14,Never-married,Management,Shared Housing,38,1,0,1,1,0
19,Private,9,Never-married,Simple Services,Child,35,0,0,0,1,0
42,Private,9,Widowed/Separated,Simple Services,Shared Housing,52,1,0,0,1,0
18,Private,7,Never-married,Simple Services,Child,24,1,0,1,1,0
58,Self Employed,13,Married,Specialized Services,Husband,50,1,1,1,1,1
20,Private,10,Never-married,Public Safety,Shared Housing,60,1,0,0,1,0
35,Government,9,Married,Specialized Services,Husband,40,1,1,1,1,0
32,Private,9,Married,Simple Services,Husband,38,1,1,1,1,0
23,Private,9,Never-married,Simple Services,Shared Housing,25,0,0,1,1,0
31,Private,10,Widowed/Separated,Specialized Services,Single,40,0,0,1,1,0
33,Private,13,Married,Sales,Husband,55,1,0,0,1,0
41,Private,10,Never-married,Simple Services,Shared Housing,48,0,0,1,1,0
22,Private,9,Never-married,Simple Services,Child,40,1,0,0,1,0
46,Private,10,Married,Public Safety,Husband,40,1,1,1,1,0
61,Government,10,Married,Simple Services,Husband,40,1,0,0,1,0
30,Private,9,Never-married,Management,Shared Housing,40,1,0,0,1,0
42,Private,9,Married,Management,Husband,55,1,1,1,1,0
63,Private,6,Married,Simple Services,Husband,40,1,0,1,1,0
26,Private,10,Married,Sales,Husband,40,1,0,1,1,0
42,Private,6,Widowed/Separated,Administrative,Single,40,0,0,1,1,0
23,Private,10,Married,Simple Services,Husband,40,1,0,1,1,0
25,Private,9,Never-married,Simple Services,Single,40,1,0,1,1,0
30,Private,5,Married,Simple Services,Husband,32,1,1,1,0,0
23,Private,9,Never-married,Sales,Child,40,1,0,1,1,0
34,Self Employed,11,Never-married,Professional,Shared Housing,60,1,1,1,1,1
30,Private,9,Married,Simple Services,Shared Housing,48,1,0,1,1,0
39,Private,10,Married,Specialized Services,Husband,40,1,1,1,1,0
30,Private,7,Never-married,Simple Services,Shared Housing,38,1,0,1,0,0
38,Government,10,Widowed/Separated,Administrative,Single,38,0,0,1,1,0
26,Private,9,Widowed/Separated,Management,Child,40,0,0,1,1,0
20,Private,10,Never-married,Simple Services,Child,16,1,0,1,1,0
33,Private,9,Married,Administrative,Child,40,0,0,1,1,0
24,Private,13,Never-married,Administrative,Child,40,1,0,1,1,0
42,Self Employed,13,Married,Management,Husband,60,1,1,1,1,0
51,Self Employed,9,Married,Sales,Husband,84,1,0,0,0,1
56,Government,12,Married,Specialized Services,Husband,45,1,1,1,1,0
22,Private,10,Never-married,Simple Services,Child,40,1,0,1,1,0
52,Self Employed,10,Married,Professional,Husband,60,1,0,1,1,0
44,Private,13,Widowed/Separated,Management,Single,45,0,1,1,1,1
34,Private,9,Married,Administrative,Wife,35,0,0,1,1,1
51,Private,10,Widowed/Separated,Specialized Services,Shared Housing,42,1,1,1,1,0
19,Private,10,Never-married,Sales,Shared Housing,25,0,0,1,1,0
37,Private,13,Married,Management,Husband,40,1,1,1,1,0
68,Private,9,Married,Simple Services,Husband,40,1,1,0,1,0
22,Private,10,Widowed/Separated,Public Safety,Shared Housing,40,1,0,1,1,0
56,Self Employed,13,Married,Management,Husband,40,1,0,1,1,0
37,Private,9,Married,Specialized Services,Husband,40,1,0,1,1,0
52,Private,2,Married,Simple Services,Husband,40,1,0,1,0,0
26,Private,9,Widowed/Separated,Simple Services,Child,40,1,0,1,0,0
33,Private,14,Married,Professional,Husband,50,1,0,1,1,0
45,Government,14,Widowed/Separated,Professional,Single,42,0,0,1,1,0
18,Private,7,Never-married,Simple Services,Child,15,1,0,1,1,0
43,Self Employed,10,Married,Professional,Husband,60,1,1,1,1,0
18,Private,9,Never-married,Simple Services,Child,20,1,0,1,1,0
57,Private,9,Married,Specialized Services,Husband,40,1,1,1,1,0
41,Private,9,Widowed/Separated,Administrative,Single,42,0,0,1,1,1
34,Private,14,Married,Management,Husband,50,1,1,1,1,0
19,Private,9,Never-married,Sales,Single,40,0,0,1,1,0
44,Private,5,Widowed/Separated,Simple Services,Single,55,0,0,1,0,0
56,Private,6,Widowed/Separated,Simple Services,Single,40,0,0,1,1,0
36,Self Employed,9,Married,Professional,Husband,80,1,0,1,1,0
48,Private,13,Widowed/Separated,Management,Single,48,0,0,1,1,0
29,Private,9,Married,Simple Services,Husband,40,1,1,1,1,0
33,Private,13,Never-married,Specialized Services,Shared Housing,40,1,0,1,1,1
31,Private,3,Married,Simple Services,Husband,40,1,0,1,0,0
39,Private,14,Married,Professional,Husband,45,1,1,1,1,0
66,Private,9,Married,Management,Husband,40,1,1,1,1,1
27,Private,13,Never-married,Professional,Shared Housing,50,0,1,1,1,0
39,Private,9,Widowed/Separated,Management,Single,40,0,1,0,1,1
59,Private,4,Married,Specialized Services,Husband,50,1,1,1,1,1
26,Private,9,Never-married,Simple Services,Child,40,0,0,1,1,0
31,Private,11,Widowed/Separated,Specialized Services,Single,40,1,0,1,1,0
23,Private,9,Never-married,Simple Services,Child,30,1,0,1,1,0
36,Government,9,Widowed/Separated,Administrative,Single,40,0,0,1,1,0
34,Private,10,Married,Simple Services,Wife,12,0,1,1,1,0
32,Private,9,Married,Simple Services,Husband,84,1,1,1,1,0
37,Private,13,Married,Professional,Husband,50,1,1,0,1,0
33,Private,13,Never-married,Sales,Shared Housing,45,1,0,1,1,0
50,Self Employed,15,Married,Professional,Husband,80,1,1,1,1,1
32,Government,12,Never-married,Public Safety,Shared Housing,40,1,0,0,1,0
35,Private,13,Never-married,Administrative,Child,40,0,0,0,1,0
37,Private,7,Married,Specialized Services,Husband,40,1,0,1,1,0
44,Private,10,Widowed/Separated,Specialized Services,Shared Housing,60,1,0,1,1,0
57,Private,10,Widowed/Separated,Simple Services,Shared Housing,25,1,0,1,1,0
29,Government,10,Married,Management,Child,40,0,0,1,1,0
55,Private,9,Married,Specialized Services,Husband,50,1,1,1,1,0
43,Self Employed,15,Married,Professional,Husband,25,1,1,1,1,0
43,Private,10,Married,Sales,Husband,70,1,0,1,1,0
45,Self Employed,10,Married,Sales,Husband,60,1,1,1,1,0
33,Self Employed,14,Married,Professional,Wife,8,0,0,1,1,0
26,Private,6,Widowed/Separated,Simple Services,Single,40,0,0,1,0,0
23,Private,10,Married,Sales,Husband,68,1,0,1,1,0
41,Private,4,Widowed/Separated,Specialized Services,Shared Housing,40,1,0,1,0,0
24,Private,9,Married,Specialized Services,Husband,40,1,0,1,1,0
47,Self Employed,13,Married,Sales,Husband,44,1,0,1,1,0
34,Self Employed,9,Never-married,Specialized Services,Child,45,1,0,1,1,0
40,Private,9,Married,Management,Husband,40,1,1,1,1,0
28,Private,13,Married,Professional,Wife,40,0,0,0,1,0
24,Private,9,Never-married,Management,Child,40,0,0,0,0,0
23,Private,9,Never-married,Specialized Services,Shared Housing,15,1,0,1,1,0
43,Self Employed,9,Married,Management,Husband,40,1,1,0,1,0
26,Private,13,Widowed/Separated,Specialized Services,Shared Housing,40,0,0,1,1,0
58,Self Employed,16,Married,Management,Wife,35,0,1,1,1,0
52,Private,9,Widowed/Separated,Administrative,Single,35,0,0,0,1,0
29,Private,7,Married,Simple Services,Husband,99,1,1,1,1,0
47,Private,7,Married,Simple Services,Husband,35,1,0,1,0,0
49,Private,9,Widowed/Separated,Administrative,Single,37,0,0,0,1,0
40,Private,7,Widowed/Separated,Administrative,Single,40,0,0,1,1,0
62,Self Employed,9,Married,Administrative,Wife,40,0,0,1,1,0
49,Private,9,Married,Management,Husband,55,1,1,1,1,0
50,Private,13,Widowed/Separated,Professional,Shared Housing,50,0,1,1,1,0
31,Private,9,Never-married,Simple Services,Child,40,1,0,0,1,0
48,Government,14,Never-married,Professional,Shared Housing,50,0,0,1,1,0
24,Private,9,Never-married,Specialized Services,Single,40,0,0,1,1,0
37,Private,9,Widowed/Separated,Simple Services,Child,60,1,0,0,1,0
45,Private,13,Married,Management,Husband,45,1,1,0,0,0
36,Private,14,Married,Management,Husband,45,1,0,0,0,0
45,Private,13,Married,Management,Husband,40,1,0,1,1,0
41,Private,13,Never-married,Sales,Shared Housing,40,0,0,1,1,0
26,Private,12,Never-married,Specialized Services,Shared Housing,20,0,0,1,1,0
17,Private,7,Never-married,Sales,Child,25,0,0,1,1,0
43,Private,9,Married,Simple Services,Husband,65,1,0,1,1,0
35,Private,9,Never-married,Simple Services,Child,55,1,0,1,1,0
38,Private,13,Widowed/Separated,Administrative,Single,40,0,0,1,1,0
26,Private,9,Never-married,Simple Services,Shared Housing,40,1,0,1,1,0
28,Private,10,Never-married,Management,Child,40,0,0,1,1,0
38,Private,13,Married,Professional,Wife,24,0,1,1,1,0
36,Private,7,Widowed/Separated,Simple Services,Single,40,0,0,1,1,0
33,Private,9,Married,Administrative,Wife,40,0,1,1,1,0
19,Private,9,Never-married,Simple Services,Child,70,1,0,1,1,1
42,Government,6,Married,Administrative,Husband,40,1,0,1,0,0
50,Private,6,Married,Simple Services,Husband,40,1,1,1,1,0
30,Private,9,Married,Simple Services,Husband,30,1,0,1,1,0
37,Government,10,Married,Professional,Shared Housing,40,1,0,0,0,0
54,Self Employed,15,Married,Professional,Husband,40,1,1,1,1,1
52,Self Employed,13,Never-married,Management,Shared Housing,40,1,0,1,1,0
33,Private,9,Widowed/Separated,Specialized Services,Shared Housing,40,0,0,1,1,0
25,Private,10,Never-married,Specialized Services,Shared Housing,40,1,0,1,1,0
24,Private,13,Never-married,Sales,Shared Housing,45,1,0,1,1,0
26,Private,11,Widowed/Separated,Administrative,Single,40,0,0,0,1,1
39,Private,9,Widowed/Separated,Administrative,Shared Housing,40,1,1,1,1,0
59,Private,9,Widowed/Separated,Simple Services,Shared Housing,40,0,0,1,1,0
29,Private,10,Never-married,Administrative,Single,40,0,0,1,1,0
47,Private,7,Never-married,Simple Services,Child,45,0,0,1,1,0
64,Self Employed,9,Married,Simple Services,Husband,50,1,0,1,1,0
21,Private,9,Never-married,Simple Services,Child,20,1,0,0,1,0
32,Private,10,Married,Administrative,Wife,40,0,1,0,1,0
26,Private,9,Never-married,Management,Shared Housing,37,0,0,0,1,0
62,Self Employed,14,Married,Professional,Husband,40,1,0,1,1,0
32,Private,13,Married,Specialized Services,Husband,55,1,1,1,1,0
45,Self Employed,9,Married,Management,Husband,60,1,0,1,1,0
31,Private,13,Married,Management,Husband,50,1,1,1,1,0
32,Private,9,Married,Administrative,Husband,40,1,0,1,1,1
24,Private,13,Married,Sales,Husband,40,1,0,1,1,0
25,Private,13,Never-married,Sales,Child,40,0,0,1,1,0
41,Self Employed,9,Married,Management,Husband,60,1,0,1,1,0
18,Private,10,Never-married,Sales,Child,20,0,0,1,1,0
44,Private,16,Married,Professional,Husband,55,1,1,1,1,0
40,Private,10,Married,Management,Husband,50,1,0,1,1,1
27,Private,13,Never-married,Professional,Shared Housing,40,1,0,1,1,0
23,Private,13,Never-married,Administrative,Child,40,1,0,1,1,0
21,Private,10,Never-married,Administrative,Shared Housing,40,1,0,0,1,1
